PK,FK_TAX_FAM,FK_TAX_GEN,FK_TAX_SPE,Comment,,,,,,,,
90,,31,129,Lachnospiraceae; Eisenbergiella; tayi,,,,,,,,
91,,32,8,Lachnospiraceae; Enterocloster; aldenense,,,,,,,,
92,,32,19,Lachnospiraceae; Enterocloster; bolteae,,,,,,,,
93,,32,32,Lachnospiraceae; Enterocloster; citroniae,,,,,,,,
94,,32,34,Lachnospiraceae; Enterocloster; clostridioforme,,,,,,,,
95,,35,138,Lachnospiraceae; Eubacterium; ventriosum,,,,,,,,
96,,37,109,Lachnospiraceae; Faecalibacterium; prausnitzii,,,,,,,,
97,,37,2,Lachnospiraceae; Faecalibacterium; sp. nov,,,,,,,,
98,,38,4,Lachnospiraceae; ﻿Faecalicatena; ﻿acetigenes,,,,,,,,
99,,39,135,Lachnospiraceae; Faecalimonas; umbilicata,,,,,,,,
100,,40,108,Lachnospiraceae; Flavonifractor; plautii,,,,,,,,
101,,41,118,Lachnospiraceae; Fusicatenibacter; saccharivorans,,,,,,,,
102,,42,112,Lachnospiraceae; ﻿Gallintestinimicrobium; ﻿propionicum,,,,,,,,
103,,43,1,Lachnospiraceae; Gemmiger; sp.,,,,,,,,
104,16,1,1,Lachnospiraceae; gen.; sp,,,,,,,,
105,16,2,,Lachnospiraceae; gen. nov,,,,,,,,
106,,44,3,Lachnospiraceae; ﻿Hominimerdicola; ﻿aceti,,,,,,,,
107,,45,150,Lachnospiraceae; ﻿Hoministercoradaptatus; ammoniilyticus,,,,,,,,
108,,46,21,Lachnospiraceae; Huintestinicola; butyrica,,,,,,,,
109,,47,70,Lachnospiraceae; Hungatella; hathewayi,,,,,,,,
110,,48,2,Lachnospiraceae; Intestinimonas; sp. nov,,,,,,,,
111,,49,46,Lachnospiraceae; Lachnospira; eligens,,,,,,,,
112,,49,103,Lachnospiraceae; Lachnospira; pectinoschiza,,,,,,,,
113,,49,2,Lachnospiraceae; Lachnospira; sp. nov,,,,,,,,
114,,50,2,Lachnospiraceae; Lacrimispora; sp. nov,,,,,,,,
